Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
d1196f03-1d4b-46d7-b958-adcabfe52da8,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,12,12,82.92903162508618,46,24,24,15,0,7,15,3,18,9,18,21,27,79.81353752812508,118.59257041502654,1.5,177.8888556225398,9.882714201252211,0.0395308568050088
efdc70de-6635-44e2-9a69-03ede1b65eef,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,13,13,80.74341705395702,61,33,33,23,0,5,23,3,12,7,13,15,20,47.77443751081735,78.13781191217038,1.625,126.97394435727686,7.054108019848715,0.0260459373040567
9cf62246-3dc7-4cba-b8b2-b0ca05d3a064,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,14,14,71.80451038750809,75,51,48,21,0,6,21,6,18,25,49,24,74,90.56842503028857,339.2872250533656,8.166666666666666,2770.8456712691523,153.935870626064,0.1130957416844552
2a909636-df68-4113-8261-8434bd1dbc11,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,9,9,79.79118629952791,61,30,30,18,0,13,18,7,19,14,27,26,41,100.36210720983136,192.7180284437848,4.973684210526316,958.5186151546138,53.25103417525632,0.0642393428145949
e8656ef0-5795-4a92-9410-626dcd68eb38,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,11,11,81.26707375684657,62,38,38,17,0,7,17,3,6,5,9,9,14,20.264662506490406,44.37895002019238,2.25,99.85263754543286,5.547368752524047,0.0147929833400641
8c1bc2b5-3122-490a-b65b-5bc6dc0c1ef6,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,12,12,51.44988079006951,39,35,35,0,0,4,0,4,11,7,13,15,20,46.05374780501028,78.13781191217038,2.363636363636364,184.6893736105845,10.260520756143585,0.0260459373040567
464437ef-7926-4ed2-8f75-6184ae361581,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,16,16,77.3110845513605,68,39,39,21,0,8,21,5,18,11,20,23,31,86.66829050039843,140.2304206377674,2.7777777777777777,389.5289462160205,21.64049701200114,0.0467434735459224
0f94a9c7-8d6f-42f8-960c-0cca6f8f31b6,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,16,16,78.06278019196893,60,32,30,20,0,10,20,5,25,13,26,30,39,127.70604521880492,191.36873322873225,2.6,497.5587063947038,27.64215035526132,0.0637895777429107
be535715-e9b2-4f86-975e-13556b8375cb,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,10,10,83.03129769872572,55,28,28,18,0,9,18,5,9,7,13,14,20,40.13896548741762,76.14709844115208,3.611111111111111,274.97563325971583,15.276424069984213,0.0253823661470506
f0897002-466a-439b-8b59-455ce7d8d4b3,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,14,14,76.45327065353314,52,33,32,15,0,5,15,7,31,20,39,38,59,173.2315700763964,309.6277232931715,4.403225806451613,1363.360781597352,75.74226564429733,0.1032092410977238
aa9d2e9d-7ea6-48bc-91cb-dc423251a4ea,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,15,15,65.94674070810898,51,41,41,5,0,5,5,6,20,15,29,26,44,101.9483369020742,206.81934759820808,4.35,899.6641620522051,49.98134233623362,0.068939782532736
fece922e-aa07-47b1-bc8a-5d6cc0e8044e,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,9,9,86.46069393775417,57,29,29,17,0,11,17,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
477d205f-54f5-45c9-9826-85fe2c3d616b,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,14,14,78.80585285538501,59,30,30,24,0,5,24,6,18,11,21,24,32,90.56842503028857,146.71880002307702,3.5,513.5158000807696,28.52865556004276,0.048906266674359
55d70f4f-c933-488a-8abd-984fa464fc35,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,8,8,88.26253107694282,35,17,17,13,0,7,11,3,10,5,10,13,15,37.97416845103709,55.506595772116384,1.5,83.25989365817458,4.625549647676365,0.0185021985907054
2101fd9d-a74e-4f46-849f-dde07b2cd0bb,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,6,6,92.63701019426544,38,18,18,14,0,6,14,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
02ac8f15-cdd6-4120-8308-734d901e967e,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,8,8,89.62468591426071,35,18,18,12,0,7,10,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
29b5ad59-ba1f-4c1a-bf04-e60fa6d2fe6c,meta-llama-3.1-8b-instruct,Which companies have access to your Instagram activity or information?,True,8,8,87.81475457053654,37,18,18,14,0,5,14,3,8,5,10,11,15,28.75488750216347,51.89147427955947,1.875,97.296514274174,5.405361904120777,0.0172971580931864
